Company_Name,Job_Title,Location,Job_Url,Posted_On,Job_ID,City,State
Alpha Consulting Corp,Data Engineer,United States,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmztqN_51rcXXt1zGaqXL2SM702I5KuCok5O3lQmzZOGLgnjvwdkhbGIvU7BV9BzKuBHh7b7ozRtiGV6CPYOe6sNawsJfT6o2PcUUObBAyYF45U5p2U8xfs1rdahPA-b5RfXtfUcTJC3LNDkZG5XLgtzM3OeKwOH8qLqGmXS71znYnNqiyt7hTgvhnK7f0K74vF-yMqTAVcoW0X5gAwOT7DMlyl-h__lw4iOc1ZhLqWQvhzpNhM59uE6riJihId4fZaYyIKdjv2NMNP7bChOp5iQ_WdsiS89UPqFIQamfLvz83IDNNVFsetfPlpfKiuOIc_X9R71VnCW0E0sNrY4yRrcBZJGjLoE6XECftAHei9BmSEB46Q8jBZXz1hox10a2Ec6qAJEJjm3YwujC51-L6jIhDzlM_o1J7EHYNtB4yakH6yEhqSBfRVotYwMUUC2CTr5raoC_5xrkYdvlTtYkYAJa9DfX7Mps7uOB_NIKRyVQby4kz4o2_e_iVGbQawgz-kHyb2IAeCNn62_tBwmgpixXBXqJ6ntfJSWcA1b74fzZgDWAmgxlQTUqmPq62OueOPpWic2FtFJ2HV9FXnikjtv_8eu3wOJolUCZyFnjfVGv6IithH7KYhwXlelXmmZycqwihr-LLruscEm64Fp7OqQoNbjU56BI=&xkcb=SoAO6_M3H01WqERJhZ0LbzkdCdPP&p=0&fvj=1&vjs=3,2023-12-14,sj_696be0ffb3caf364,Devens,MA
Scion Staffing,Remote Data Center Engineer,United States,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AxNjU9wWOnkzYrjpAN9mGGJnqCtvXlnsxswceXA4p8ajo3b3VclFu4qdwU5qOdkrXVYs45mlEOQtkZpAoRX8XCNht8v_KSC60BEVJsqOVbHPIArz-ChQaMXAAH0teGZ1O6inpvOIwhKQ_y2GG4yd4097uR394y3rLrdXdCVxFFzW-Ywt_RYPI02KpFqAFnpXP64XYmBcToDuzVCEyuzYfzE6oOR-MpLFumMakDCeV8oh0UeXp7oH_vV7mq2Lo8ycvxa5sEL_jzQT0o21lSoscnWQRDpoLd4eMv8lee3o-6-MOb4Hf4EoxOCvRGHx7Yp9QQy32yv-wo9Dl-de77hmDfRjhOBACDaHox8I6fEmRQSUtfezr_l2uOh9OYjkMcf4BMO9goEtzuYyulBEUmsnJkzkQgpaSsKF9_LcdbNjbXHZekDaKW0AXM4tkTIcyk7VhLnkLBJwJ259q7k5ms-I48ghyL3mo-HS6p0Tu46328OKa9A11QwsaE4FzDWednMTFte9_HgLlV0O0ucteT5teohZu6WvDSKCeEW28I8aLgBf0rzYIfNtMMmnv8gD1BWJAP7_H_zV2FyqsiU95GA7m2uP6vq0VGGA18S-NDPsXFkunMzV5bL8Sd_mG3Q8UgBzk=&xkcb=SoC66_M3H01WqERJhZ0KbzkdCdPP&p=1&fvj=1&vjs=3,2023-12-14,sj_63b8cc4cce682bea,Remote,Not Available
element technologies,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=f4266ec2c9f3dd3b&bb=0EY0niG5IFrSTh2ZJRhkok8xS3EMWbHuWqsweSSwNMoPig_yLbmI-s_9mPqK68cY&xkcb=SoDX67M3H01WrtwgaB0LbzkdCdPP&fccid=4771a89175a7c7a4&cmp=Element-Technologies&ti=Data+Engineer&vjs=3,2023-12-14,job_f4266ec2c9f3dd3b,Remote,Not Available
iLink Systems Inc.,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=1810f4e48e36b03a&bb=Y1EQ55h6aMN-6zNInqeyYG1ABmkyfb7_sYcQKUg-VYamuT6debRS7HDlSRgJ8Wwt&xkcb=SoBZ67M3H01WrsQgaB0LbzkdCdPP&fccid=815fb7ecac6e8b95&cmp=iLink-Systems-Inc.&ti=Data+Engineer&vjs=3,2023-12-14,job_1810f4e48e36b03a,Irvine,CA 92602 
kraken,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=afd4e9f71b2e94e3&bb=Y1EQ55h6aMPwafkg3QuRtFMPz2FhFjueVE5MbvNZojVTLgPIrhDQn1oKxlHN-MVm&xkcb=SoBw67M3H01WrsQgaB0JbzkdCdPP&fccid=fc7b3a033fd34a37&vjs=3,2023-12-14,job_afd4e9f71b2e94e3,Remote,Not Available
Advance knowledge LLC,Data Engineer (FULL TIME),United States,https://www.indeed.com/rc/clk?jk=8b8082e23ed5e34c&bb=Y1EQ55h6aMN8luJvXwEeE40LI-iDJM_5HWmYI2vftSomCk6-69jwP8gCqwf2pD2m&xkcb=SoBK67M3H01WrsQgaB0PbzkdCdPP&fccid=15306ee23fd17656&cmp=Advance-knowledge-LLC&ti=Data+Engineer&vjs=3,2023-12-14,job_8b8082e23ed5e34c,Hybrid remote in Scottsdale,AZ 85250
Boston Technology,Data Engineer Insurance,United States,https://www.indeed.com/rc/clk?jk=c8f731501dfbe358&bb=rPWCAVh1eCWizI4VhoHgQtZlfcB1Kb3jkPBNDOvVPXjfAQdaX89VCH9nvTpZDrWF&xkcb=SoCo67M3H01WrswgaB0KbzkdCdPP&fccid=4944c1d0a4b3ab8a&cmp=Boston-Technology&ti=Data+Engineer&vjs=3,2023-12-14,job_c8f731501dfbe358,Indianapolis,IN 46202 
Catapult Solutions Group,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=8ceef15da372ad60&bb=rPWCAVh1eCWwT3pROQME5aXh-uNZa623Ex68x9a8OM3Mq5Duia3qCIvmA87QAfMR&xkcb=SoCB67M3H01WrswgaB0IbzkdCdPP&fccid=d46709d35e7ff647&vjs=3,2023-12-14,job_8ceef15da372ad60,Hybrid remote in Mountain View,CA 94043
StackCloud AI,AWS Data Engineer,United States,https://www.indeed.com/rc/clk?jk=f4444fc67ca08751&bb=BcAbmK6axEIe4K57NzLSIfgLvkl8lO3stkgq9RMhDDxoQZBvJp_ZhMWy4DCr5rPJ&xkcb=SoDx67M3H01WrvQgaB0KbzkdCdPP&fccid=4592ad3ab91fd4bc&cmp=StackCloud-AI&ti=Data+Engineer&vjs=3,2023-12-14,job_f4444fc67ca08751,Charlotte,NC
Kani Solutions,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=fc9418954e4f7b75&bb=BcAbmK6axELC_0F2pJkPabf0u90c625QKISZ3oGpRxwPi64Ii7pf4esRFSsfNyiz&xkcb=SoDY67M3H01WrvQgaB0IbzkdCdPP&fccid=6d19b3e54be9bb3a&cmp=Kani-Solutions&ti=Data+Engineer&vjs=3,2023-12-14,job_fc9418954e4f7b75,Phoenix,AZ
ABBVIE,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=4a21a12e6993dd75&bb=UMjmaREbtw0dhGd7Z0T28MIejP6lidwRbbHB8gAK_hGYDU6_FeaAd0-jUHh-6Kb2&xkcb=SoC067M3H01WrvwgaB0KbzkdCdPP&fccid=a3b51ece17c02aae&vjs=3,2023-12-14,job_4a21a12e6993dd75,Lake County,IL
DCI Solutions,Data Pipeline Engineer,United States,https://www.indeed.com/rc/clk?jk=d630e8d353a3462a&bb=UMjmaREbtw0p0FnuPvroZ8pWQfe9JS8qhURwtVgwsK9WU68CZGNuxP5-kSFLGIyL&xkcb=SoCd67M3H01WrvwgaB0IbzkdCdPP&fccid=ef458547d0b90f7b&cmp=DCI-Solutions&ti=Pipeline+Engineer&vjs=3,2023-12-14,job_d630e8d353a3462a,Washington,DC
DCI Solutions,Data Pipeline Engineer,United States,https://www.indeed.com/rc/clk?jk=099e4fe9042d0b3b&bb=UMjmaREbtw1qBhPQiGhN3qAVAYKMUS7vbCklA3inu5SEJ498ixgU5l2eXMXKOcel&xkcb=SoCn67M3H01WrvwgaB0ObzkdCdPP&fccid=ef458547d0b90f7b&cmp=DCI-Solutions&ti=Pipeline+Engineer&vjs=3,2023-12-14,job_099e4fe9042d0b3b,New York,NY
INFOWAVE SYSTEMS INC,MSBI Developer / ETL developer / Data Engineer,United States,https://www.indeed.com/rc/clk?jk=751c2c1d0ae49ba7&bb=Jm0z4mH9xABzec95tkIyA-lJEidIwLPMyXhlm6WZG0ctncsmphRS4Ap2tMITDP2J&xkcb=SoA667M3H01WruQgaB0KbzkdCdPP&fccid=f9732e7f3cea4180&cmp=Infowave-Systems-Inc&ti=ETL+Developer&vjs=3,2023-12-14,job_751c2c1d0ae49ba7,Rocky Hill,CT 06067
Photon,Data Engineer,United States,https://www.indeed.com/rc/clk?jk=7861c7dc893291dd&bb=yMSUJB-J4zat_4v73ctVn8XUjsmFOR9rE2UZ1PBTF2mMjLpPvq9CwcTtWSlD2t6i&xkcb=SoDL67M3H01WruwgaB0LbzkdCdPP&fccid=2385f8ebf01f1b76&vjs=3,2023-12-14,job_7861c7dc893291dd,Dallas,TX
pureIntegration,"Data Analyst (Teradata, SQL) IV",United States,https://www.indeed.com/rc/clk?jk=92ca43586d954695&bb=BP01iTEEsnCiCLfC9_Bxo75tAttulADb0y6sHZGEygEBYPZueLATSflQZy3qrqyyN3GrM0jmnkw3atNyvVUGUSTUbDvG5gKtdLWkU3Llm34%3D&xkcb=SoCT67M3H01T7JwY2h0LbzkdCdPP&fccid=75f329a345acb291&vjs=3,2023-12-14,job_92ca43586d954695,Remote in Philadelphia,PA
ARK Solutions,Data Governance Analyst- Hybrid Role,United States,https://www.indeed.com/rc/clk?jk=96025ccee894069f&bb=BP01iTEEsnCiCLfC9_Bxo5t_r2Hlolb3IJE1yGAZ8XHVU3FOklLklN8bUMDYo-qbuCiR88P9q6ZB5zMMa5pL_-IlLAjtMINHfewjq_QL6Gc%3D&xkcb=SoAn67M3H01T7JwY2h0KbzkdCdPP&fccid=ae3ba26fed950f3e&vjs=3,2023-12-14,job_96025ccee894069f,Richmond,VA
Ztek Consulting Inc.,Sr. Data Analyst,United States,https://www.indeed.com/rc/clk?jk=c8db14dff88da7b1&bb=BP01iTEEsnCiCLfC9_Bxo9mf3YpLiwjMZpkjgwXSmnsiE8b3kg1d9sebWmRuAJkHRBkBfo0qtiTh4wrzP6CwNtqpGr4FDW0gk_p9dsGwFtQ%3D&xkcb=SoAO67M3H01T7JwY2h0IbzkdCdPP&fccid=f39dcbb24ff4e46b&cmp=Ztek-Consulting&ti=Senior+Data+Analyst&vjs=3,2023-12-14,job_c8db14dff88da7b1,Richmond,VA 23219 
MIT,Data Analyst,United States,https://www.indeed.com/rc/clk?jk=455603106c4e1cdd&bb=BP01iTEEsnCiCLfC9_BxoxxqzVmDVCTxWssg-x8hew0JRMA4XMp70W5QWCkByj53_h2H4qxUyKrM495_8_Xjo2t0DOb9GsxMn9qVSSzf3Q4%3D&xkcb=SoCA67M3H01T7JwY2h0PbzkdCdPP&fccid=71cf745ec1b3aae4&vjs=3,2023-12-14,job_455603106c4e1cdd,Cambridge,MA 02139 
GenTech Associates,Data Governance Analyst,United States,https://www.indeed.com/rc/clk?jk=f03ded8feae6e0b0&bb=BP01iTEEsnCiCLfC9_Bxo1donHhzeIW0WOmhTlV2XKqwQ5QijR5KSyxwMDUCiKaF5JnFD7N4iWccjW8f4NvMp-T2Ba6JO-4aPhm6UHx7Pqw%3D&xkcb=SoA067M3H01T7JwY2h0ObzkdCdPP&fccid=39879ca8bd0342f1&cmp=GenTech-Associates&ti=Data+Analyst&vjs=3,2023-12-14,job_f03ded8feae6e0b0,Richmond,VA
HSK IT Solutions India Pvt. Ltd.,Epidemologist (data analyst),United States,https://www.indeed.com/rc/clk?jk=00461361d1bca59b&bb=BP01iTEEsnCiCLfC9_BxowevzgiCwOSPEYuTjdi38VrSwQtp06lyUHprpMO9PtK-gqTOYcMMr23R4JS7bC7iMy298sPBmfPC8O1yS4paELQ%3D&xkcb=SoCp67M3H01T7JwY2h0NbzkdCdPP&fccid=4bae8559844bf64b&cmp=HSK-IT-Solutions-India-Pvt.-Ltd.&ti=Data+Analyst&vjs=3,2023-12-14,job_00461361d1bca59b,Indianapolis,IN 46204 
BranCore Technologies,Data Governance Analyst – Contract Position,United States,https://www.indeed.com/rc/clk?jk=f7164ec7e6584a9e&bb=BP01iTEEsnCiCLfC9_Bxo6TeOIqJjDegSMsISok_YAJRKwmjuIsziZcJ1Y8pMFOn9MjMY2eQgaizAS1me11apxqPe3j5rTn27TcTydDDQFs%3D&xkcb=SoAd67M3H01T7JwY2h0MbzkdCdPP&fccid=191c92601e36a31f&vjs=3,2023-12-14,job_f7164ec7e6584a9e,Richmond,VA
Datawize Technologies Inc,Data Governance Analyst,United States,https://www.indeed.com/rc/clk?jk=d1bc8b36e07c1a0e&bb=BP01iTEEsnCiCLfC9_BxoyCwd4qVZv8JrGuRxH-sXcZxqb4Jo9BO7l_A2LEVn4fajXarnNUzXOvlFEHeLqXkaCYUTMqxSazVjq-eXnP0FDU%3D&xkcb=SoD067M3H01T7JwY2h0DbzkdCdPP&fccid=429084a795bfc7cf&cmp=Datawize-Technologies-Inc&ti=Data+Analyst&vjs=3,2023-12-14,job_d1bc8b36e07c1a0e,Richmond,VA 23219 
Publicis Groupe,"Analyst, Data Operations",United States,https://www.indeed.com/rc/clk?jk=fe844e2fe7fd07c4&bb=BP01iTEEsnCiCLfC9_Bxo-XDTZM4n6m4oW7F5nVWP1G5HWFMC8REZt0_wK57RCWSD2aqWWsRMkOOCPYiO3Q_Nzg3YND-CCVPS_mADFiIOX8%3D&xkcb=SoBA67M3H01T7JwY2h0CbzkdCdPP&fccid=274e15dee00b5237&vjs=3,2023-12-14,job_fe844e2fe7fd07c4,Boston,MA
Viatris,"Student Worker, Global Rebranding Data Analyst",United States,https://www.indeed.com/rc/clk?jk=9a84da501b29bb73&bb=BP01iTEEsnCiCLfC9_Bxo0kh7sSTDi58QbD0rYqcIQqhPTiLLufOs7yRGY3jabZTDyZeP_Zx-ZSYAiCZaINEbmIEMTDAvZLbSOSgLEgfuLQ%3D&xkcb=SoDd67M3H01T7JwY2h0BbzkdCdPP&fccid=311f23c65d5bd7ef&vjs=3,2023-12-14,job_9a84da501b29bb73,Remote,Not Available
Upen Group Inc,Associate Analyst,United States,https://www.indeed.com/rc/clk?jk=2a87fbeacdcc9e6a&bb=BP01iTEEsnCiCLfC9_Bxo5mpKNi7cDrPNwrb8BRVJLh-D2mVNCIOpH7UXXHzRerM27lcIFaO5YgiAbG39K6rJpr6ygqyMh1kBcsusml7XuE%3D&xkcb=SoBp67M3H01T7JwY2h0AbzkdCdPP&fccid=ab283d08aaa89866&cmp=Upen-Group-Inc&ti=Associate+Analyst&vjs=3,2023-12-14,job_2a87fbeacdcc9e6a,Hybrid remote in Irving,TX 75038
VNS Health,Senior Data Integration Analyst,United States,https://www.indeed.com/rc/clk?jk=a7b621154db709ec&bb=BP01iTEEsnCiCLfC9_BxoyYCAgg2n69BYHCgujVk_Kcby7Cai1TG8aDArTAObH0a_zHsFtMV4o2En0CKHLP34FU18L2rzM_EXyAdfjC9Qu4%3D&xkcb=SoDn67M3H01T7JwY2h0HbzkdCdPP&fccid=bf8d0f5b45d49fcf&vjs=3,2023-12-14,job_a7b621154db709ec,Manhattan,NY
"ASSYST, Inc.",Intelligence Data Analyst - Part Time (20hrs a Week),United States,https://www.indeed.com/rc/clk?jk=c126f09c55d9a324&bb=BP01iTEEsnCiCLfC9_Bxo-b5um59Xez_Z3hJ_IZ5NdotnO6gcqd3B_v1edSyK0S_fYnMwlewUONZgsP20QqIa-35uKr_3ijiXIMFrgyY3fQ%3D&xkcb=SoBT67M3H01T7JwY2h0GbzkdCdPP&fccid=f67aa18ed1afa1c4&vjs=3,2023-12-14,job_c126f09c55d9a324,Rockville,MD
RADCube-Software Development Company,Clinical Data Quality Analyst,United States,https://www.indeed.com/rc/clk?jk=95d6b9aec5c60e4c&bb=BP01iTEEsnCiCLfC9_Bxo2ZChSZub3BUJjDBsV1s-72scrfdoRVKVCNNvd8W_kv8Ra6JAEusirl_Tks3AydH0SElVh2-ExEey8I9WlagqsU%3D&xkcb=SoDO67M3H01T7JwY2h0FbzkdCdPP&fccid=3e7d9169b2f6aedf&cmp=RADCube--Software-Development-Company&ti=Data+Analyst&vjs=3,2023-12-14,job_95d6b9aec5c60e4c,Remote,Not Available
DATAMAXIS,Technical Business Analyst,United States,https://www.indeed.com/rc/clk?jk=e27cff462e0b960c&bb=BP01iTEEsnCiCLfC9_Bxo8aWLNb3f61yHC3ADsv9aM7lO5SUxasOjnd1HmKS_d59MF2cAJEo0UmWuI4APSRLsGb6_Kw9ZdeU3uFzuHl_Ihs%3D&xkcb=SoB667M3H01T7JwY2h0EbzkdCdPP&fccid=33fd4bb1670a3c28&vjs=3,2023-12-14,job_e27cff462e0b960c,Plano,TX
McDonald's Corporation,Web Developer II (Remote),United States,https://www.indeed.com/rc/clk?jk=4b98de472773b331&bb=6-gDirkao3govsXGk173Anoz3h3b5hydHH-aAQwoBV-a6fKHbsVcxzkhfgA6s8LVlBpXp8zYyhdIMLVYF38KwG3W2cA5WqCmsOMcNJIO7G4%3D&xkcb=SoA_67M3H01Q1Nwgdx0LbzkdCdPP&fccid=f753bb1a40104d82&vjs=3,2023-12-14,job_4b98de472773b331,Remote in Chicago,IL 60607
The Ranger Group,Software Build & Release DevOps Engineer,United States,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFxeVR7gIDo5QvFvIhRmWHDzaGkvio7MuMt1B5Z2Omn9R5VQpuD7J3mT02ukPPPFAn_2LKRrCWDs5X5jXS-_KHYFoTKaippsLeHMJJmwjUl6Rmd-WJjo9UPm-MQlZYfWThXQ1dNJF0NZd28QT5rrAAu5RHUhZR36GCwAb7uCWKP2J2jBiSIZpJo_Unbu4Jn7EsrR_u_pkhC5NhXsAr67vFKAhb5kDJvp7vNt2HyxkjQyOinJVfwFWqn0e59FP8xfiLaJR_6aaKDN7bq3DvtkgF_ad0FfhrI19kPxY85VoR1m9S3Y9v8yOAil6LsoJJf4qlaGJWv5S-ixOsdqVr-XScFU_EmpST3rKKyzoL2W9pv42nyF4RRHzvR_AsV7l1DTyFKS7EUNRYZ-EaZk5izAJs_m-1vw-wdGH6E44TNVtoV2bXeY5BYJQOdHbS24skWjgZ1Bf268hj5CX6Pad7fXTd0FKA9Jt2z8CLgngAPqSqG1jeSuGtgXwecqMeKyKnKHS1OSIjWDoWBmul_nCqU8MfCYVIYWvDT34vFou-tBHTeNiC0ek9hfIalb69ZJabOau2tZlmk-BGiu7pcNMUGuRVn1mY1KEK57nmGLUJjCmW-iu61x83TvA8Ga3DXB4VqzEJfltCgmWzr9imQwTAE6XErPGB606fh72q7JNIYo5zhw==&xkcb=SoB_6_M3H01Q1Nwgdx0KbzkdCdPP&p=1&fvj=1&vjs=3,2023-12-14,sj_dc04e5371f1d1874,Plano,TX 75024
Ameritas,Software Developer,United States,https://www.indeed.com/rc/clk?jk=dc159b79e201aae7&bb=6-gDirkao3govsXGk173AtsmWOoUp4sz8XySAb-ISbVY3_mMdGgyDceLPuH8upA5Aow4Tub84MeBi6GSV259aAFR2VS8i9uczHhDV-EooPw%3D&xkcb=SoAW67M3H01Q1Nwgdx0JbzkdCdPP&fccid=101127093b5c64ae&vjs=3,2023-12-14,job_dc159b79e201aae7,Lincoln,NE 68510 
SBS CyberSecurity,Sr Software Developer,United States,https://www.indeed.com/rc/clk?jk=7dcc339cbd3af0ec&bb=6-gDirkao3govsXGk173AvvJi7oVU38YTdNmZsWFdiAsUlb5dBIpXukFNr8gRAoEa-vNEOYHjbN9WFw-3Z-eDek5j72xXIfCtQHq3t8cBwc%3D&xkcb=SoCi67M3H01Q1Nwgdx0IbzkdCdPP&fccid=4693c762c5966279&vjs=3,2023-12-14,job_7dcc339cbd3af0ec,Madison,SD 57042
